"FlowRunName";"Status";"LocalStartTime";"LocalEndTime";"Trigger Property: DistributionMatrix";"Trigger Property: DocumentNumber";"Trigger Property: Message-Communication";"Trigger Property: Message-Warning";"Trigger Property: SiteURL";"Trigger Property: Transmittal";"FlowRunLink";"FlowError"
"08584986159588544980948246419CU04";"Succeeded";"12/19/2023 2:02:06 PM";"12/19/2023 2:02:14 PM";"DistributionMatrixClientTransmittal";"K499-201-SP-1546-00";"New transmittal incoming from client: <a href='https://tecnimont.sharepoint.com/sites/K499DigitalDocuments/K/201/SP/K499-201-SP-1546-00/2/CMTD/'>K499-201-SP-1546-00 - 2 - Data Sheets for Primary Flow Elements- Issue for Air Products review and comment - Code 2 - COMMENTS AS NOTED. Resubmit for Review and proceed with works. </a>";"Document <b>K499-201-SP-1546-00</b><br /> was not found in Distribution Matrix";"https://tecnimont.sharepoint.com/sites/K499DigitalDocuments";"True";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986159588544980948246419CU04";"N/A"
"08584986156882292149184006380CU197";"Succeeded";"12/19/2023 2:06:37 PM";"12/19/2023 2:07:01 PM";;"K503-100-DW-1625-001";"New document uploaded and ready for internal workflow:";"Document K503-100-DW-1625-001 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/K503DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986156882292149184006380CU197";"N/A"
"08584986156821124781538477798CU06";"Succeeded";"12/19/2023 2:06:43 PM";"12/19/2023 2:06:50 PM";"DistributionMatrixClientTransmittal";"4377-WZ-SG-Z0000002";"New transmittal incoming from client: <a href='https://tecnimont.sharepoint.com/sites/4377DigitalDocuments/W/Z/SG/4377-WZ-SG-Z0000002/03/CMTD/'>4377-WZ-SG-Z0000002 - 03 - U&O Design Basis- IFF - ISSUE FOR FINAL - 1 – Approved/Reviewed without comments. </a>";"Document <b>4377-WZ-SG-Z0000002</b><br /> was not found in Distribution Matrix";"https://tecnimont.sharepoint.com/sites/4377DigitalDocuments";"True";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986156821124781538477798CU06";"N/A"
"08584986154546817762919025439CU192";"Succeeded";"12/19/2023 2:10:30 PM";"12/19/2023 2:10:38 PM";;"4377-KK-SE-Z3000115";"New document uploaded and ready for internal workflow:";"Document 4377-KK-SE-Z3000115 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/4377DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986154546817762919025439CU192";"N/A"
"08584986150693718326439394123CU13";"Succeeded";"12/19/2023 2:16:56 PM";"12/19/2023 2:17:02 PM";;"4300-AQ-DA-126U01020";"New document uploaded and ready for internal workflow:";"Document 4300-AQ-DA-126U01020 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986150693718326439394123CU13";"N/A"
"08584986150692892821157890815CU09";"Succeeded";"12/19/2023 2:16:56 PM";"12/19/2023 2:17:05 PM";;"4300-AQ-DA-126U01039";"New document uploaded and ready for internal workflow:";"Document 4300-AQ-DA-126U01039 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986150692892821157890815CU09";"N/A"
"08584986150691446096479381541CU07";"Succeeded";"12/19/2023 2:16:56 PM";"12/19/2023 2:17:03 PM";;"4300-AQ-DA-126U01021";"New document uploaded and ready for internal workflow:";"Document 4300-AQ-DA-126U01021 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986150691446096479381541CU07";"N/A"
"08584986150691263854195335535CU10";"Succeeded";"12/19/2023 2:16:56 PM";"12/19/2023 2:17:04 PM";;"4300-AQ-DA-126U01028";"New document uploaded and ready for internal workflow:";"Document 4300-AQ-DA-126U01028 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986150691263854195335535CU10";"N/A"
"08584986150690935459152097042CU198";"Succeeded";"12/19/2023 2:16:56 PM";"12/19/2023 2:17:10 PM";;"4300-AQ-DA-126U01052";"New document uploaded and ready for internal workflow:";"Document 4300-AQ-DA-126U01052 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986150690935459152097042CU198";"N/A"
"08584986150690765320891191210CU08";"Succeeded";"12/19/2023 2:16:56 PM";"12/19/2023 2:17:13 PM";;"4300-AQ-DA-126U01046";"New document uploaded and ready for internal workflow:";"Document 4300-AQ-DA-126U01046 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986150690765320891191210CU08";"N/A"
