"FlowRunName";"Status";"LocalStartTime";"LocalEndTime";"Trigger Property: channel";"Trigger Property: links";"Trigger Property: mentions";"Trigger Property: message";"Trigger Property: tags";"Trigger Property: team";"FlowRunLink";"FlowError"
"08584986159516756018477506692CU110";"Succeeded";"12/19/2023 2:02:13 PM";"12/19/2023 2:02:18 PM";"19:e3476969c4b04e6b965ba43d44a5193c@thread.tacv2";"";"";"New transmittal incoming from client: <a href='https://tecnimont.sharepoint.com/sites/K499DigitalDocuments/K/201/SP/K499-201-SP-1546-00/2/CMTD/'>K499-201-SP-1546-00 - 2 - Data Sheets for Primary Flow Elements- Issue for Air Products review and comment - Code 2 - COMMENTS AS NOTED. Resubmit for Review and proceed with works. </a> <br><br>Contractor Document Number: K499-201-SP-1546-00<br>Client Code: EN213385-KNTCS-DD1-00005<br>Document Title: Data Sheets for Primary Flow Elements<br>Reason For Issue: Issue for Air Products review and comment<br>Revision: 2<br>Transmittal: EN213385-AP-KNTCS-ET-00080";"tagName : V - PROCESS
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyMzYmQxYzEzOS1iYzI4LTQ5OTEtOTcxZi04OTFiY2RlOTNmODMjI3RDVTgwakY5SA==

tagName : K - INSTRUMENTATION
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyMzYmQxYzEzOS1iYzI4LTQ5OTEtOTcxZi04OTFiY2RlOTNmODMjI3RJcTR3V09ySQ==";"3bd1c139-bc28-4991-971f-891bcde93f83";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/912ce04c-d7a9-4bd3-b0c8-179b90e23ae1/runs/08584986159516756018477506692CU110";"N/A"
"08584986156751796483915028191CU100";"Succeeded";"12/19/2023 2:06:50 PM";"12/19/2023 2:06:55 PM";"19:c2c488f479c34e6296f58e126c2ef6b7@thread.tacv2";"";"";"New transmittal incoming from client: <a href='https://tecnimont.sharepoint.com/sites/4377DigitalDocuments/W/Z/SG/4377-WZ-SG-Z0000002/03/CMTD/'>4377-WZ-SG-Z0000002 - 03 - U&O Design Basis- IFF - ISSUE FOR FINAL - 1 – Approved/Reviewed without comments. </a> <br><br>Contractor Document Number: 4377-WZ-SG-Z0000002<br>Client Code: 4377-WZ-SG-Z0000002<br>Document Title: U&O Design Basis<br>Reason For Issue: IFF - ISSUE FOR FINAL<br>Revision: 03<br>Transmittal: 4377-TR-SQP-TCM-T-01211";"tagName : X - LAYOUT AND PIPING
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyMxMjQ5MzRjMy1iMTFhLTRiZWEtODgwNC0wZGU3ZGYyMjJjMWQjI3RZdjk4NGdzOA==

tagName : W - UTILITIES
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyMxMjQ5MzRjMy1iMTFhLTRiZWEtODgwNC0wZGU3ZGYyMjJjMWQjI3RaWGp2S2FiSnc=";"124934c3-b11a-4bea-8804-0de7df222c1d";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/912ce04c-d7a9-4bd3-b0c8-179b90e23ae1/runs/08584986156751796483915028191CU100";"N/A"
"08584986156644581683166191343CU230";"Succeeded";"12/19/2023 2:07:01 PM";"12/19/2023 2:07:06 PM";"19:6b32c38c550a493cb5589acf56a2c3e2@thread.tacv2";"text : K503-100-DW-1625-001 - 1 - Electrical Substation Layout - Issue for Design
link : https://tecnimont.sharepoint.com/sites/K503DigitalDocuments/N/100/DW/K503-100-DW-1625-001/1/";"";"New document uploaded and ready for internal workflow:  K503-100-DW-1625-001 - 1 - Electrical Substation Layout - Issue for Design<br><br>Contractor Document Number: K503-100-DW-1625-001<br>Client Code: K503-100-DW-1625-001<br>Document Title: Electrical Substation Layout<br>Reason For Issue: Issue for Design<br>Revision: 1";"tagName : PREN - PROJECT ENGINEERING
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNhZjA2MjFmNi00ZjNkLTQ1MzEtYTcyOC0yMjM2M2FjZGQ4NGQjI3RaVGVhWkp6cg==

tagName : CS - CONSTRUCTION SUBCONTRACTS
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNhZjA2MjFmNi00ZjNkLTQ1MzEtYTcyOC0yMjM2M2FjZGQ4NGQjI3RFNG40UVBGWg==

tagName : A - CIVIL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNhZjA2MjFmNi00ZjNkLTQ1MzEtYTcyOC0yMjM2M2FjZGQ4NGQjI3RlVWFjcjhhYlVE

tagName : K - INSTRUMENTATION
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNhZjA2MjFmNi00ZjNkLTQ1MzEtYTcyOC0yMjM2M2FjZGQ4NGQjI3RoYVZUaTBzYWI=

tagName : N - ELECTRICAL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNhZjA2MjFmNi00ZjNkLTQ1MzEtYTcyOC0yMjM2M2FjZGQ4NGQjI3RiWFVvcjVBOA==

tagName : SITE - FIELD
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNhZjA2MjFmNi00ZjNkLTQ1MzEtYTcyOC0yMjM2M2FjZGQ4NGQjI3R1aEdZR3BaSg==";"af0621f6-4f3d-4531-a728-22363acdd84d";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/912ce04c-d7a9-4bd3-b0c8-179b90e23ae1/runs/08584986156644581683166191343CU230";"N/A"
"08584986154476098115052712665CU230";"Succeeded";"12/19/2023 2:10:37 PM";"12/19/2023 2:10:46 PM";"19:3d0aebfaf01743ce86bd1a7e433957fa@thread.tacv2";"text : 4377-KK-SE-Z3000115 - 01 - OSBL Technical Specification for On/Off Valves - IFF - ISSUE FOR FINAL
link : https://tecnimont.sharepoint.com/sites/4377DigitalDocuments/K/K/SE/4377-KK-SE-Z3000115/01/";"";"New document uploaded and ready for internal workflow:  4377-KK-SE-Z3000115 - 01 - OSBL Technical Specification for On/Off Valves - IFF - ISSUE FOR FINAL<br><br>Contractor Document Number: 4377-KK-SE-Z3000115<br>Client Code: 4377-KK-SE-Z3000115<br>Document Title: OSBL Technical Specification for On/Off Valves<br>Reason For Issue: IFF - ISSUE FOR FINAL<br>Revision: 01";"tagName : S - DESIGN HSE
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyMxMjQ5MzRjMy1iMTFhLTRiZWEtODgwNC0wZGU3ZGYyMjJjMWQjI3RCOWFiYWJoaG1F

tagName : Z - PROJECT PROCUREMENT
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyMxMjQ5MzRjMy1iMTFhLTRiZWEtODgwNC0wZGU3ZGYyMjJjMWQjI3Q2emtRbTcwMg==

tagName : K - INSTRUMENTATION AND CONTROL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyMxMjQ5MzRjMy1iMTFhLTRiZWEtODgwNC0wZGU3ZGYyMjJjMWQjI3RlQmxOWHBSeA==";"124934c3-b11a-4bea-8804-0de7df222c1d";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/912ce04c-d7a9-4bd3-b0c8-179b90e23ae1/runs/08584986154476098115052712665CU230";"N/A"
"08584986150628323217658980079CU128";"Succeeded";"12/19/2023 2:17:02 PM";"12/19/2023 2:17:35 PM";"19:12faafd14cab43d3ba5812ac119412d4@thread.tacv2";"text : 4300-AQ-DA-126U01020 - Q2 - UG Services : Layout Construction Drawing For Area 126U01 (126110) - PART 08 - Approved for Construction - Revised
link : https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments/A/Q/DA/4300-AQ-DA-126U01020/Q2/";"";"New document uploaded and ready for internal workflow:  4300-AQ-DA-126U01020 - Q2 - UG Services : Layout Construction Drawing For Area 126U01 (126110) - PART 08 - Approved for Construction - Revised<br><br>Contractor Document Number: 4300-AQ-DA-126U01020<br>Client Code: 126-CC-215-00020<br>Document Title: UG Services : Layout Construction Drawing For Area 126U01 (126110) - PART 08<br>Reason For Issue: Approved for Construction - Revised<br>Revision: Q2";"tagName : U4 - B - BUILDING
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RtWklnMDlESA==

tagName : U4 - K - INSTRUMENTATION AND CONTROL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3QxNDM5YmFienk=

tagName : U4 - N - ELECTRICAL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RNNnp3WXNsVA==

tagName : U4 - S - DESIGN HSE
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3QwVzlweW52ZQ==

tagName : U4 - X - LAYOUT AND PIPING
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RIb3ROMkQ2VQ==

tagName : U4 - A - CIVIL AND STRUCTURAL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RIZERoQWowdw==";"be79d7e7-9138-4e5f-9adc-10bbe6c25262";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/912ce04c-d7a9-4bd3-b0c8-179b90e23ae1/runs/08584986150628323217658980079CU128";"N/A"
"08584986150619039111169020077CU229";"Succeeded";"12/19/2023 2:17:03 PM";"12/19/2023 2:17:17 PM";"19:12faafd14cab43d3ba5812ac119412d4@thread.tacv2";"text : 4300-AQ-DA-126U01021 - Q2 - UG Services : Layout Construction Drawing For Area 126U01 (126110) - PART 09 - Approved for Construction - Revised
link : https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments/A/Q/DA/4300-AQ-DA-126U01021/Q2/";"";"New document uploaded and ready for internal workflow:  4300-AQ-DA-126U01021 - Q2 - UG Services : Layout Construction Drawing For Area 126U01 (126110) - PART 09 - Approved for Construction - Revised<br><br>Contractor Document Number: 4300-AQ-DA-126U01021<br>Client Code: 126-CC-215-00021<br>Document Title: UG Services : Layout Construction Drawing For Area 126U01 (126110) - PART 09<br>Reason For Issue: Approved for Construction - Revised<br>Revision: Q2";"tagName : U4 - B - BUILDING
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RtWklnMDlESA==

tagName : U4 - K - INSTRUMENTATION AND CONTROL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3QxNDM5YmFienk=

tagName : U4 - N - ELECTRICAL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RNNnp3WXNsVA==

tagName : U4 - S - DESIGN HSE
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3QwVzlweW52ZQ==

tagName : U4 - X - LAYOUT AND PIPING
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RIb3ROMkQ2VQ==

tagName : U4 - A - CIVIL AND STRUCTURAL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RIZERoQWowdw==";"be79d7e7-9138-4e5f-9adc-10bbe6c25262";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/912ce04c-d7a9-4bd3-b0c8-179b90e23ae1/runs/08584986150619039111169020077CU229";"N/A"
"08584986150615208207948650767CU229";"Succeeded";"12/19/2023 2:17:03 PM";"12/19/2023 2:17:17 PM";"19:12faafd14cab43d3ba5812ac119412d4@thread.tacv2";"text : 4300-AQ-DA-126U01028 - Q2 - UG Services : Layout Construction Drawing For Area 126U01 (126160) - PART 15 - Approved for Construction - Revised
link : https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments/A/Q/DA/4300-AQ-DA-126U01028/Q2/";"";"New document uploaded and ready for internal workflow:  4300-AQ-DA-126U01028 - Q2 - UG Services : Layout Construction Drawing For Area 126U01 (126160) - PART 15 - Approved for Construction - Revised<br><br>Contractor Document Number: 4300-AQ-DA-126U01028<br>Client Code: 126-CC-215-00028<br>Document Title: UG Services : Layout Construction Drawing For Area 126U01 (126160) - PART 15<br>Reason For Issue: Approved for Construction - Revised<br>Revision: Q2";"tagName : U4 - B - BUILDING
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RtWklnMDlESA==

tagName : U4 - K - INSTRUMENTATION AND CONTROL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3QxNDM5YmFienk=

tagName : U4 - N - ELECTRICAL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RNNnp3WXNsVA==

tagName : U4 - S - DESIGN HSE
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3QwVzlweW52ZQ==

tagName : U4 - X - LAYOUT AND PIPING
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RIb3ROMkQ2VQ==

tagName : U4 - A - CIVIL AND STRUCTURAL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RIZERoQWowdw==";"be79d7e7-9138-4e5f-9adc-10bbe6c25262";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/912ce04c-d7a9-4bd3-b0c8-179b90e23ae1/runs/08584986150615208207948650767CU229";"N/A"
"08584986150597946212105404883CU224";"Succeeded";"12/19/2023 2:17:05 PM";"12/19/2023 2:17:30 PM";"19:12faafd14cab43d3ba5812ac119412d4@thread.tacv2";"text : 4300-AQ-DA-126U01039 - Q2 - Underground Services : Layout Construction Drawing For Area 126U01 (126160) - PART 5 - Approved for Construction - Revised
link : https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments/A/Q/DA/4300-AQ-DA-126U01039/Q2/";"";"New document uploaded and ready for internal workflow:  4300-AQ-DA-126U01039 - Q2 - Underground Services : Layout Construction Drawing For Area 126U01 (126160) - PART 5 - Approved for Construction - Revised<br><br>Contractor Document Number: 4300-AQ-DA-126U01039<br>Client Code: 126-CC-215-00039<br>Document Title: Underground Services : Layout Construction Drawing For Area 126U01 (126160) - PART 5<br>Reason For Issue: Approved for Construction - Revised<br>Revision: Q2";"tagName : U4 - B - BUILDING
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RtWklnMDlESA==

tagName : U4 - K - INSTRUMENTATION AND CONTROL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3QxNDM5YmFienk=

tagName : U4 - N - ELECTRICAL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RNNnp3WXNsVA==

tagName : U4 - S - DESIGN HSE
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3QwVzlweW52ZQ==

tagName : U4 - X - LAYOUT AND PIPING
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RIb3ROMkQ2VQ==

tagName : U4 - A - CIVIL AND STRUCTURAL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RIZERoQWowdw==";"be79d7e7-9138-4e5f-9adc-10bbe6c25262";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/912ce04c-d7a9-4bd3-b0c8-179b90e23ae1/runs/08584986150597946212105404883CU224";"N/A"
"08584986150555576181167914929CU101";"Succeeded";"12/19/2023 2:17:09 PM";"12/19/2023 2:17:24 PM";"19:12faafd14cab43d3ba5812ac119412d4@thread.tacv2";"text : 4300-AQ-DA-126U01052 - Q2 - Underground Services : Layout Construction Drawing For Area 126U01 (126101) - Approved for Construction - Revised
link : https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments/A/Q/DA/4300-AQ-DA-126U01052/Q2/";"";"New document uploaded and ready for internal workflow:  4300-AQ-DA-126U01052 - Q2 - Underground Services : Layout Construction Drawing For Area 126U01 (126101) - Approved for Construction - Revised<br><br>Contractor Document Number: 4300-AQ-DA-126U01052<br>Client Code: 126-CC-215-00052<br>Document Title: Underground Services : Layout Construction Drawing For Area 126U01 (126101)<br>Reason For Issue: Approved for Construction - Revised<br>Revision: Q2";"tagName : U4 - B - BUILDING
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RtWklnMDlESA==

tagName : U4 - K - INSTRUMENTATION AND CONTROL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3QxNDM5YmFienk=

tagName : U4 - N - ELECTRICAL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RNNnp3WXNsVA==

tagName : U4 - S - DESIGN HSE
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3QwVzlweW52ZQ==

tagName : U4 - X - LAYOUT AND PIPING
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RIb3ROMkQ2VQ==

tagName : U4 - A - CIVIL AND STRUCTURAL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RIZERoQWowdw==";"be79d7e7-9138-4e5f-9adc-10bbe6c25262";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/912ce04c-d7a9-4bd3-b0c8-179b90e23ae1/runs/08584986150555576181167914929CU101";"N/A"
"08584986150526429568843217250CU226";"Succeeded";"12/19/2023 2:17:12 PM";"12/19/2023 2:17:26 PM";"19:12faafd14cab43d3ba5812ac119412d4@thread.tacv2";"text : 4300-AQ-DA-126U01046 - Q2 - Underground Services : Layout Construction Drawing For Area 126U01 (126160) - PART 8 - Approved for Construction - Revised
link : https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments/A/Q/DA/4300-AQ-DA-126U01046/Q2/";"";"New document uploaded and ready for internal workflow:  4300-AQ-DA-126U01046 - Q2 - Underground Services : Layout Construction Drawing For Area 126U01 (126160) - PART 8 - Approved for Construction - Revised<br><br>Contractor Document Number: 4300-AQ-DA-126U01046<br>Client Code: 126-CC-215-00046<br>Document Title: Underground Services : Layout Construction Drawing For Area 126U01 (126160) - PART 8<br>Reason For Issue: Approved for Construction - Revised<br>Revision: Q2";"tagName : U4 - B - BUILDING
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RtWklnMDlESA==

tagName : U4 - K - INSTRUMENTATION AND CONTROL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3QxNDM5YmFienk=

tagName : U4 - N - ELECTRICAL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RNNnp3WXNsVA==

tagName : U4 - S - DESIGN HSE
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3QwVzlweW52ZQ==

tagName : U4 - X - LAYOUT AND PIPING
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RIb3ROMkQ2VQ==

tagName : U4 - A - CIVIL AND STRUCTURAL
tagId   : N2NjOTE4ODgtNWFhMC00OWU1LWE4MzYtMjJjZGEyZWFlMGZjIyNiZTc5ZDdlNy05MTM4LTRlNWYtOWFkYy0xMGJiZTZjMjUyNjIjI3RIZERoQWowdw==";"be79d7e7-9138-4e5f-9adc-10bbe6c25262";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/912ce04c-d7a9-4bd3-b0c8-179b90e23ae1/runs/08584986150526429568843217250CU226";"N/A"
