"FlowRunName";"Status";"LocalStartTime";"LocalEndTime";"Trigger Property: AVDTNumber";"Trigger Property: ID_VDL";"Trigger Property: SiteUrl";"FlowRunLink";"FlowError"
"08585023294482834441840516813CU156";"Succeeded";"11/6/2023 2:30:37 PM";"11/6/2023 2:30:37 PM";"AVDT-A2201-KT-7500113720-00010";"1558";"https://tecnimont.sharepoint.com/sites/vdm_A2201";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023294482834441840516813CU156";"N/A"
"08585023292449978234179911695CU157";"Succeeded";"11/6/2023 2:34:00 PM";"11/6/2023 2:34:00 PM";"AVDT-4300-P4-TCM-7500114756-00015";"38694";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023292449978234179911695CU157";"N/A"
"08585023292436707406715038327CU170";"Succeeded";"11/6/2023 2:34:01 PM";"11/6/2023 2:34:02 PM";"AVDT-4300-P4-TCM-7500114756-00015";"38698";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023292436707406715038327CU170";"N/A"
"08585023291508338921624484780CU156";"Succeeded";"11/6/2023 2:35:34 PM";"11/6/2023 2:35:35 PM";"AVDT-4300-P4-TCM-7500114756-00016";"38712";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023291508338921624484780CU156";"N/A"
"08585023291501298755271942990CU189";"Succeeded";"11/6/2023 2:35:35 PM";"11/6/2023 2:35:35 PM";"AVDT-4300-P4-TCM-7500114756-00016";"38705";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023291501298755271942990CU189";"N/A"
"08585023291498720021300477485CU184";"Succeeded";"11/6/2023 2:35:35 PM";"11/6/2023 2:35:35 PM";"AVDT-4300-P4-TCM-7500114756-00016";"38696";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023291498720021300477485CU184";"N/A"
"08585023290850345257663084496CU190";"Succeeded";"11/6/2023 2:36:40 PM";"11/6/2023 2:36:40 PM";"AVDT-4300-U4-TCM-7500112968-00014";"24501";"https://tecnimont.sharepoint.com/sites/vdm_43U4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023290850345257663084496CU190";"N/A"
"08585023290785971944700847170CU159";"Succeeded";"11/6/2023 2:36:46 PM";"11/6/2023 2:36:47 PM";"AVDT-4300-P4-TCM-7500114756-00017";"38701";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023290785971944700847170CU159";"N/A"
"08585023290783605465652716814CU191";"Succeeded";"11/6/2023 2:36:47 PM";"11/6/2023 2:36:47 PM";"AVDT-4300-P4-TCM-7500114756-00017";"38699";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023290783605465652716814CU191";"N/A"
"08585023289650377465456380693CU174";"Succeeded";"11/6/2023 2:38:40 PM";"11/6/2023 2:38:40 PM";"AVDT-4300-P4-TCM-7500114756-00018";"38708";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023289650377465456380693CU174";"N/A"
