"ID";"TCM_DN";"Rev";"ClientCode";"LastTrn";"LastTrnClient"
"4";"4355-GP-VD-FP092250004 Imported at  20-03-2023 11:13:58";;;"2122-TTMCP-00263";
"5";"4355-GP-VD-BC092250003 Imported at  20-03-2023 11:14:02";;;"2122-TTMCP-00207";
"6";"4355-GP-VD-BC092250002 Imported at  20-03-2023 11:14:05";;;"2122-TTMCP-01185";
"7";"4355-GP-VD-DS092250005 Imported at  20-03-2023 11:14:09";;;"2122-TTMCP-00263";
"8";"4355-GP-VD-PP092250001 Imported at  20-03-2023 11:14:13";;;;
"9";"4355-GP-VD-BD092250008 Imported at  20-03-2023 11:14:16";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"10";"4355-GP-VD-QP092250007 Imported at  20-03-2023 11:14:18";;;;
"11";"4355-GP-VD-BD092250009 Imported at  20-03-2023 11:14:21";;;"2122-TTMCP-00264";"RLPP-TCPTM-00066"
"12";"4355-GP-VD-QC092250006 Imported at  20-03-2023 11:14:23";;;"2122-TTMCP-00207";"RLPP-TCPTM-00026"
"13";"4355-GP-VD-BD092250010 Imported at  20-03-2023 11:14:26";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"14";"4355-GP-VD-BD092250013 Imported at  20-03-2023 11:14:28";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"15";"4355-GP-VD-BD092250015 Imported at  20-03-2023 11:14:30";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"16";"4355-GP-VD-BD092250011 Imported at  20-03-2023 11:14:33";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"17";"4355-GP-VD-BD092250012 Imported at  20-03-2023 11:14:35";;;"2122-TTMCP-00264";"RLPP-TCPTM-00066"
"18";"4355-GP-VD-BD092250018 Imported at  20-03-2023 11:14:37";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"19";"4355-GP-VD-BD092250020 Imported at  20-03-2023 11:14:40";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"20";"4355-GP-VD-BD092250016 Imported at  20-03-2023 11:14:43";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
