"ID";"TCM_DN";"Rev";"ClientCode";"LastTrn";"LastTrnClient";"StagingPath"
"754";"4355-AG-SG-00000002";"AA";"2050-CVES-00012";"2050-TTMCP-00003";"CPC-RLPP-WTR-004329";
"755";"4355-BB-SG-00000001";"AA";"2050-ARES-00001";"TRM_035";"CPC-RLPP-WTR-003391";
"756";"4355-AI-SG-00000001";"AA";"2050-STES-00002";"TRM_051";"CPC-RLPP-WTR-003843";
"758";"4355-AG-SG-00000001";"AA";"2050-CVES-00010";"TRM_037";"CPC-RLPP-WTR-003090";
"759";"4355-AX-SG-00000001";"AA";"2050-STES-00001";"TRM_036";"CPC-RLPP-WTR-003379";
"760";"4355-AA-SG-00000001";"AA";"2050-CVES-00001";"TRM_046";"CPC-RLPP-WTR-003635";
"762";"4355-AR-SG-00000001";"AA";"2050-CVES-00003";"2050-TTMCP-00114";"RLPP-TCPTM-00007";
"763";"4355-AQ-SG-00000001";"AA";"2050-CVES-00002";"TRM_040";"CPC-RLPP-WTR-003380";
"764";"4355-BH-SG-00000002";"AA";"2050-HVES-00002";"2050-TTMCP-00067";"CPC-RLPP-WTR-005289";
"765";"4355-BT-SG-00000001";"AA";"2050-TEES-00001";;;
"766";"4355-BK-SG-00000001";"AA";"2050-FGVR-00001";;;
"767";"4355-BJ-SG-00000001";"AA";"2050-ACES-00001";;;
"768";"4355-BX-SE-00000001";"AA";"2050-ARLS-00001";"2050-TTMCP-00066";"CPC-RLPP-WTR-005362";
"769";"4355-BN-SG-00000001";"AA";"2050-ELES-00001";;;
"770";"4355-BH-SG-00000001";"AA";"2050-HVES-00001";;;
"771";"4355-BX-SE-00000002";"AA";"2050-ARLS-00002";"2050-TTMCP-00066";"CPC-RLPP-WTR-005363";
"772";"4355-BU-SG-00000001";"AA";;;;
"773";"4355-BJ-SG-00000002";"AA";"2050-ACES-00002";;;
"775";"4355-CC-DX-0000021T2021";"AA";"21-MDDS-T2021";"2122-TTMCP-00034";;
"776";"4355-CC-DX-0000022T5064";"AA";"22-MDDS-T5064";"2122-TTMCP-00034";;
"777";"4355-CC-DX-0000021V4023";"AA";"21-MDDS-V4023";"2122-TTMCP-00058";;
"779";"4355-CC-DX-0000022T5074";"AA";"22-MDDS-T5074";"2122-TTMCP-00034";;
"780";"4355-CC-DX-0000021T5074";"AA";"21-MDDS-T5074";"2122-TTMCP-00034";;
"781";"4355-BX-SE-00000003";"AA";"2050-ARLS-00003";"2050-TTMCP-00066";"CPC-RLPP-WTR-005364";
"782";"4355-CC-DX-0000021T5064";"AA";"21-MDDS-T5064";"2122-TTMCP-00034";;
"783";"4355-CC-DX-0000021V5001";"AA";"21-MDDS-V5001";"2122-TTMCP-00058";;
"785";"4355-CC-DX-0000022V4023";"AA";"22-MDDS-V4023";"2122-TTMCP-00058";;
"786";"4355-CC-MR-20500005";"AA";"E-2050-TMMD-00005";"2050-TTMCP-00008";;
"787";"4355-CC-DX-0000022T5079";"AA";"22-MDDS-T5079";"2122-TTMCP-00034";;
"788";"4355-CC-DX-0000022V5001";"AA";"22-MDDS-V5001";"2122-TTMCP-00058";;
"789";"4355-CC-SS-21220011";"AA";"2122-TMMD-00011";"2122-TTMCP-00057";;
"790";"4355-CE-DX-0000021E2021";"AA";"21-MCDS-E2021";"2122-TTMCP-00035";;
"791";"4355-CC-MR-21220011";"AA";"E-2122-TMMD-00011";"2122-TTMCP-00056";;
"792";"4355-CC-SS-20500005";"AA";"2050-TMMD-00005";"2050-TTMCP-00009";;
"793";"4355-CC-DX-0000050T7901";"AA";"50-MDDS-T7901";"50-TTMCP-00012";;
"794";"4355-CE-DX-0000022E5065";"AA";"22-MCDS-E5065";"2122-TTMCP-00030";;
"795";"4355-CE-DX-0000022E5079";"AA";"22-MCDS-E5079";"2122-TTMCP-00035";;
"796";"4355-CE-DX-0000021E5064";"AA";"21-MCDS-E5064";"2122-TTMCP-00030";;
"797";"4355-CE-DX-0000021E4024";"AA";"21-MCDS-E4024";"2122-TTMCP-00030";;
"798";"4355-CE-DX-0000021E4031";"AA";"21-MCDS-E4031";"2122-TTMCP-00030";;
"799";"4355-CE-DX-0000022E5074";"AA";"22-MCDS-E5074";"2122-TTMCP-00030";;
"800";"4355-CE-DX-0000022E5064";"AA";"22-MCDS-E5064";"2122-TTMCP-00030";;
"801";"4355-CE-DX-0000021E5075";"AA";"21-MCDS-E5075";"2122-TTMCP-00035";;
"802";"4355-CE-MR-21220065";"AA";"E-2122-TMMC-00065";"2122-TTMCP-00028";;
"803";"4355-CE-SS-21220065";"AA";"2122-TMMC-00065";"2122-TTMCP-00029";;
"806";"4355-CR-BE-21220118";"AA";"T-2122-TMMD-00118";"2122-TTMCP-00086";"CPC-RLPP-WTR-005460";
"809";"4355-CZ-SG-00000001";"AA";"2050-MEES-00001";"TRM_021";"CPC-RLPP-WTR-003396";
"813";"4355-CZ-SG-00000002";"AA";"2050-MEES-00002";"TRM_019";"CPC-RLPP-WTR-003395";
"822";"4355-FP-MR-26300001";"AA";"E-2122-TMPK-6020";"2122-TTMCP-00080";;
"831";"4355-FP-SS-26300001";"AA";"2122-PKES-60201";"2122-TTMCP-00077";;
"834";"4355-FT-SE-26703402";"AA";"60-PKDS-L3402AF";"50-TTMCP-00040";"CPC-RLPP-WTR-005700";
"836";"4355-FT-MR-26760101";"AA";"E-60-TMPK-3401AC";"50-TTMCP-00045";;
"837";"4355-FT-SS-26700001";"AA";"60-PKES-2670";"50-TTMCP-00044";;
"838";"4355-FT-MR-26700001";"AA";"E-60-TMPK-2670";"50-TTMCP-00045";;
"839";"4355-FT-SS-26760101";"AA";"60-PKES-3401AC";"50-TTMCP-00044";;
"841";"4355-FT-SE-26701702";"AA";"60-PKDS-L1702AC";"50-TTMCP-00043";"CPC-RLPP-WTR-005550";
"843";"4355-FT-SE-26763401";"AA";"60-PKDS-L3401AC";"50-TTMCP-00043";"CPC-RLPP-WTR-005551";
"856";"4355-FY-MR-42550201";"AA";"50-TMPK21500";"50-TTMCP-00016";;
"867";"4355-FY-MR-42600001";"AA";"2122-TMPK50210";"2122-TTMCP-00050";;
"868";"4355-FY-MR-43621101";"AA";"21-TMPK10010";"2122-TTMCP-00017";;
"874";"4355-FY-SS-42550201";"AA";"50-PKES-2150";"50-TTMCP-00017";;
"885";"4355-FZ-SG-00001002";"AA";"2050-CEES-001002";"2050-TTMCP-00011";;
"888";"4355-FZ-SG-00001001";"AA";"2050-CEES-001001";"2050-TTMCP-00006";;
"889";"4355-FY-SS-42600001";"AA";"2122-PKES-50211";"2122-TTMCP-00051";;
"890";"4355-FY-SS-43621101";"AA";"21-PKES-10011";"2122-TTMCP-00017";;
"898";"4355-GG-MR-00000019";"AA";"E-50-TMMJ-0019";"50-TTMCP-00030";;
"932";"4355-GG-SE-21PK4001AB";"AA";"21-PKDS-PK4001AB";"TRM_010";;
"946";"4355-GG-SE-22PK4001B";"AA";"22-PKDS-PK4001B";"TRM_010";;
"952";"4355-GG-SE-22PK4001A";"AA";"22-PKDS-PK4001A";"TRM_010";;
"958";"4355-GG-SE-50P3101ABCDE";"AA";"50-MJDS-P3101AE";"50-TTMCP-00028";;
"975";"4355-GG-SS-00000019";"AA";"50-MJES-00019";"50-TTMCP-00029";;
"983";"4355-GG-SS-00000025";"AA";"2122-PKES-00025";"TRM_010";;
"990";"4355-GP-BE-00000002";"AA";"T-22-TMPK-0002";"TRM_007";"CPC-RLPP-WTR-002709";
"993";"4355-GP-BE-00000001";"AA";"T-21-TMPK-0001";"TRM_004";"CPC-RLPP-WTR-002676";
"994";"4355-GP-MR-00000004";"AA";"E-21-TMPK-0004";"TRM_058";;
"995";"4355-GP-MR-00000003";"AA";"E-2050-TMPK-0003";"2050-TTMCP-00081";"CPC-RLPP-WTR-005384";
"996";"4355-GP-MR-00000001";"AA";;;;
"997";"4355-GP-MR-00000002";"AA";;;;
"1000";"4355-GP-MR-00000061";"AA";"E-2050-TMPK-0061";"TRM_023";;
"1001";"4355-GP-MR-00000007";"AA";"E-21-TMPK-0007";"TRM_059";;
"1002";"4355-GP-MR-00000013";"AA";"E-22-TMPK-0013";"2122-TTMCP-00055";;
"1005";"4355-GP-SE-22PK5090";"AA";"22-PKDS-PK5090";"2122-TTMCP-00052";;
"1006";"4355-GP-SE-22PK5081";"AA";"22-PKDS-22PK5081";"TRM_022";;
"1007";"4355-GP-SE-21PK6041";"AA";"21-PKDS-PK6041";"TRM_011";;
"1009";"4355-GP-SE-21PK8061";"AA";"21-PKDS-PK8061";"TRM_052";;
"1011";"4355-GP-SE-21PK2040";"AA";"21-PKDS-PK2040";"TRM_055";;
"1014";"4355-GP-SS-00000003";"AA";"2050-PKES-00003";"2050-TTMCP-00080";;
"1015";"4355-GP-SE-50PK61016102";"AA";"50-PKDS-PK61016102";"50-TTMCP-00036";;
"1016";"4355-GP-SS-00000007";"AA";"21-PKES-00007";"TRM_059";;
"1017";"4355-GP-SS-00000001";"AA";;;;
"1018";"4355-GP-SS-00000004";"AA";"21-PKES-00004";"TRM_058";;
"1019";"4355-GP-SE-22PK6041";"AA";"22-PKDS-PK6041";"TRM_011";;
"1020";"4355-GP-SE-50PK6001ABC";"AA";"50-PKDS-PK6001AC";"50-TTMCP-00036";;
"1023";"4355-GP-SS-00000002";"AA";;;;
"1029";"4355-GP-SS-00000013";"AA";"22-PKES-00013";"2122-TTMCP-00054";;
"1032";"4355-GP-SS-00000061";"AA";"2050-PKES-00061";"TRM_023";;
"1056";"4355-JK-DA-22000001";"AA";"22-INLS-10001";"2122-TTMCP-00711";;
"1058";"4355-JK-DD-21000010";"AA";"21-INDLD-10001";;;
"1059";"4355-JK-DA-21000001";"AA";"21-INLS-10001";"2122-TTMCP-00711";;
"1060";"4355-JK-DD-21000011";"AA";"21-INDLD-10002";;;
"1062";"4355-JK-DA-50000001";"AA";"2050-INLS-10001";"2050-TTMCP-00817";;
"1064";"4355-JK-DD-22000050";"AA";"22-INDLD-10006";;;
"1065";"4355-JK-DD-22000010";"AA";"22-INDLD-10001";;;
"1066";"4355-JK-DD-22000013";"AA";"22-INDLD-10004";;;
"1067";"4355-JK-DD-22000020";"AA";"22-INDLD-10005";;;
"1068";"4355-JK-DD-22000011";"AA";"22-INDLD-10002";;;
"1069";"4355-JK-DD-21000050";"AA";"21-INDLD-10006";;;
"1070";"4355-JK-DD-21000012";"AA";"21-INDLD-10003";;;
"1071";"4355-JK-DD-22000012";"AA";"22-INDLD-10003";;;
"1072";"4355-JK-DD-21000020";"AA";"21-INDLD-10005";;;
"1073";"4355-JK-DD-21000013";"AA";"21-INDLD-10004";;;
"1074";"4355-JK-DD-50000012";"AA";"2050-INDLD-10003";;;
"1075";"4355-JK-GP-22000050";"AA";"22-INDSK-10002";;;
"1076";"4355-JK-GP-50000010";"AA";"2050-INDSK-10001";;;
"1077";"4355-JK-GP-21000010";"AA";"21-INDSK-10001";"2122-TTMCP-02283";;
"1078";"4355-JK-DD-50000050";"AA";"2050-INDLD-10006";;;
"1079";"4355-JK-DD-50000011";"AA";"2050-INDLD-10002";;;
"1080";"4355-JK-GP-22000010";"AA";"22-INDSK-10001";"2122-TTMCP-02401";;
"1081";"4355-JK-GP-21000050";"AA";"21-INDSK-10002";;;
"1082";"4355-JK-DD-50000020";"AA";"2050-INDLD-10005";;;
"1083";"4355-JK-DD-50000010";"AA";"2050-INDLD-10001";;;
"1084";"4355-JK-LP-00000201";"AA";"2050-INLS-10013";;;
"1085";"4355-JK-LP-21000012";"AA";"21-INLS-10004";;;
"1086";"4355-JK-LP-21000010";"AA";"21-INLS-10002";;;
"1087";"4355-JK-LP-21000021";"AA";"21-INLS-10006";"2122-TTMCP-02396";;
"1088";"4355-JK-LP-00000001";"AA";"2050-INLS-10015";"2050-TTMCP-00089";;
"1089";"4355-JK-LP-21000040";"AA";"21-INLS-10010";;;
"1090";"4355-JK-GP-50000050";"AA";"2050-INDSK-10002";;;
"1091";"4355-JK-LP-21000011";"AA";"21-INLS-10003";"2122-TTMCP-02396";;
"1092";"4355-JK-LP-00000200";"AA";"2050-INLS-10012";;;
"1093";"4355-JK-LP-21000020";"AA";"21-INLS-10005";;;
"1094";"4355-JK-LP-22000011";"AA";"22-INLS-10003";"2122-TTMCP-02396";;
"1095";"4355-JK-LP-22000020";"AA";"22-INLS-10005";;;
"1096";"4355-JK-LP-22000010";"AA";"22--INLS-10002";;;
"1097";"4355-JK-LP-22000021";"AA";"22-INLS-10006";"2122-TTMCP-02396";;
"1098";"4355-JK-LP-22000012";"AA";"22-INLS-10004";;;
"1099";"4355-JK-LP-21000050";"AA";"21-INLS-10007";;;
"1100";"4355-JK-LP-21000051";"AA";"21-INLS-10008";"2122-TTMCP-02396";;
"1101";"4355-JK-LP-21000041";"AA";"21-INLS-10011";;;
"1102";"4355-JK-LP-22000041";"AA";"22-INLS-10011";;;
"1103";"4355-JK-LP-22000040";"AA";"22-INLS-10010";;;
"1104";"4355-JK-LP-50000011";"AA";"2050-INLS-10003";"2050-TTMCP-01952";"RLPP-TCPTM-00291";
"1105";"4355-JK-LP-50000021";"AA";"2050-INLS-10006";"2050-TTMCP-01952";"RLPP-TCPTM-00291";
"1106";"4355-JK-LP-22000051";"AA";"22-INLS-10008";"2122-TTMCP-02396";;
"1107";"4355-JK-LP-50000010";"AA";"2050-INLS-10002";;;
"1108";"4355-JK-LP-50000040";"AA";"2050-INLS-10010";;;
"1109";"4355-JK-LP-22000050";"AA";"22-INLS-10007";;;
"1110";"4355-JK-LP-50000050";"AA";"2050-INLS-10007";;;
"1111";"4355-JK-LP-50000012";"AA";"2050-INLS-10004";;;
"1112";"4355-JK-LP-50000041";"AA";"2050-INLS-10011";;;
"1113";"4355-JK-LP-50000020";"AA";"2050-INLS-10005";;;
"1114";"4355-JK-WT-21000032";"AA";"21-INLS-10014";;;
"1115";"4355-JK-LP-50000051";"AA";"2050-INLS-10008";"2050-TTMCP-01952";"RLPP-TCPTM-00291";
"1116";"4355-KK-DD-00000560";"AA";"2050-FGDBD-00560";"2050-TTMCP-00007";;
"1117";"4355-KK-SG-00000011";"AA";"2050-INES-00011";"2050-TTMCP-00004";;
"1118";"4355-JK-WT-22000032";"AA";"22-INLS-10014";;;
"1119";"4355-KK-SG-00000022";"AA";"2050-INES-00022";"2050-TTMCP-00005";;
"1120";"4355-JK-SE-00000002";"AA";;;;
"1121";"4355-JK-WT-50000032";"AA";"2050-INLS-10014";;;
"1122";"4355-JK-SZ-00000001";"AA";"2050-INES-10001";"2050-TTMCP-01109";"RLPP-TCPTM-00196";
"1123";"4355-JK-SE-00000004";"0";;;;
"1124";"4355-NN-DN-00000001";"AA";"2050-ELSLD-00001";"50-TTMCP-00001";"CPC-RLPP-WTR-003948";
"1125";"4355-NN-LE-50000001";"AA";"50-ELLE-00001";"50-TTMCP-00143";"RLPP-TCPTM-00043";
"1126";"4355-NN-LN-21000001";"AA";"21-ELLS-00001";"2122-TTMCP-00020";"CPC-RLPP-WTR-004474";
"1127";"4355-NN-LN-50000001";"AA";"50-ELLS-00001";"50-TTMCP-00005";"CPC-RLPP-WTR-004843";
"1128";"4355-SX-DG-00000001";"AA";"2050-SFDAL-00001";"2050-TTMCP-00132";"RLPP-TCPTM-00009";
