"Title";"ItemType";"Size";"ItemState";"DirName";"DeletedByName";"DeletedDate";"Id"
"Z-10045-03b.pdf";"ListItem";"796";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"11/18/2023 1:17:34 AM";"22e2f05e-b272-4f45-873f-fb99eb969cc9"
"XH-LP-0000";"ListItem";"212";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Disciplines";"Rosco Matteo";"10/17/2023 12:29:03 PM";"5b4c4719-79ac-44ee-9ad4-190e01266dfa"
"WN_9060-V-15_05_2020-en-Aktuell.pdf";"ListItem";"1204";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/12/2023 7:31:22 AM";"497ae198-9163-4e2a-a5ec-46cbdc609e18"
"WN_9060-P-15_05_2020.pdf";"ListItem";"1116";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/12/2023 7:34:06 AM";"9d57ecba-5eeb-46c7-bc51-83e01372e949"
"WN_9060_Beiblatt_101-01_12_2016-en-Aktuell.pdf";"ListItem";"1292";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/12/2023 7:33:43 AM";"8bc2e1c9-98f8-4830-aeaa-955470f5f22c"
"WN_9060_Beiblatt_003-05_05_2020-en-Aktuell.pdf";"ListItem";"1292";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/12/2023 7:33:53 AM";"57dd45d3-7ead-4558-90ee-bf5463b1ecd2"
"WN_8480-29_06_2021-en.pdf";"ListItem";"1024";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/24/2023 7:37:08 PM";"91086713-36dd-4330-965c-935088194b1f"
"WN_8480-29_06_2021-en.pdf";"ListItem";"1024";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/12/2023 7:34:08 AM";"bec75d17-14a5-49e7-8bd2-62fb0317643c"
"WN 9911-4_Requiremetns on Fabrication and Installation of Glass-lined Steel Components_2019-11-29.pdf";"ListItem";"1580";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/2/2023 9:57:11 PM";"c1dad346-dfad-4a73-8681-c4d469816c35"
"WN 9060-G_2018-11-15_EN.pdf";"ListItem";"1140";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/12/2023 7:33:25 AM";"45fb8270-b6cf-44f0-b253-c22f355631c8"
"WN 9060-G_2018-11-15_EN (AKZ).pdf";"ListItem";"1188";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/12/2023 7:33:05 AM";"ba39d3ac-ee7f-429f-bc64-4bbe704d934b"
