"Title";"ItemType";"Size";"ItemState";"DirName";"DeletedByName";"DeletedDate";"Id"
"x_barfed002";"Folder";"40912367";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/TemporaryDocumentsDownloads";"Barone Federico";"9/1/2023 8:01:48 AM";"9f9f8fae-f17c-42c0-8fbb-7e7eaed0b734"
"STR-02_OPE-SEISMIC_03.sdb";"File";"302039";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/TemporaryDocumentsDownloads/D.Resciniti/362200DMCSZC123/EXDE02/Attachments/ALLEGATI";"System Account";"11/2/2023 2:18:18 AM";"c8f03293-2143-4ae7-af6f-b7bda4b0caf1"
"STR-02_OPE-SEISMIC_03.$2k";"File";"2072192";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/TemporaryDocumentsDownloads/D.Resciniti/362200DMCSZC123/EXDE02/Attachments/ALLEGATI";"System Account";"11/2/2023 2:18:27 AM";"9e2f8c1a-dee1-4100-b11e-312362392d64"
"Steel Connection Design.pdf";"File";"3630316";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/TemporaryDocumentsDownloads/D.Resciniti/362200DMCSZC123/EXDE02/Attachments/ALLEGATI";"System Account";"11/2/2023 2:18:28 AM";"61bfd769-c3c3-490e-bdf0-d3d41ac23896"
"Originals";"Folder";"12817679";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/C/B/VD/362200DMQBZC369/02";"Zecchino Alessandro";"9/15/2023 7:00:02 AM";"e567faad-6dd7-4e9a-afdc-e6eb79527d4c"
"Load Combination List.xlsx";"File";"74042";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/TemporaryDocumentsDownloads/D.Resciniti/362200DMCSZC123/EXDE02/Attachments/ALLEGATI";"System Account";"11/2/2023 2:18:25 AM";"72c4aef3-6802-4702-a619-04bcd58a4641"
"K475-XZ-SW-3900JSS633201";"ListItem";"522";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/12/2023 9:24:54 AM";"1d7381a4-5122-4266-a6fc-ee61a310496f"
"K475-XZ-SW-3900JSS630001";"ListItem";"522";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/12/2023 9:24:54 AM";"348399ad-6a0d-43b3-b62a-a92a530fd855"
"K475-XZ-DM-3900PID0032101";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 12:17:22 PM";"19fc5ff6-d9ae-4ec9-938d-17d6078e651c"
"K475-XZ-DM-3900PID0021803";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 1:17:02 PM";"a2a60284-7d16-47a8-b390-33e15a746a4d"
"K475-XZ-DM-3900PID0021120";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 1:16:56 PM";"6086a384-ea74-442e-85b3-c7de210e0836"
"K475-XZ-DM-3900PID0021119";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 1:17:00 PM";"c7cb591f-4176-47bc-89ea-6a687f621c78"
"K475-XZ-DM-3900PID0021115";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 1:16:59 PM";"e8e210fb-bf26-452f-b0c9-6f823d722509"
"K475-XZ-DM-3900PID0021113";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 12:17:23 PM";"89ee6ecf-12c0-451d-8849-4e933578668b"
"K475-XZ-DM-3900PID0021112";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 12:17:24 PM";"18c0f8be-6e76-4b99-881e-604fa506fa70"
"K475-XZ-DM-3900PID0021111";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 1:16:59 PM";"0155cce4-61f0-4109-8cd1-6b7d57b94f8b"
"K475-XZ-DM-3900PID0021110";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 1:16:58 PM";"9ce275d7-9fb8-4d1c-ad4f-8618da7b0a24"
"K475-XZ-DM-3900PID0021109";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 1:16:57 PM";"adc33047-12e4-48d6-8e72-f0508a61a95d"
"K475-XZ-DM-3900PID0021108";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 1:16:57 PM";"206d1385-f41c-4e5e-a991-6a1bcb1adaca"
"K475-XZ-DM-3900PID0021107";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 1:16:57 PM";"15326a4f-9eb6-496d-88f7-755a2ed642a4"
"K475-XZ-DM-3900PID0021106";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 1:17:00 PM";"98f34218-a449-4f2b-a55e-18116411c3ad"
"K475-XZ-DM-3900PID0021105";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 1:17:01 PM";"2895110c-697f-42b1-8166-d40f4a182143"
"K475-XZ-DM-3900PID0021104";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 12:17:24 PM";"5383d031-0d7c-4c25-b9b6-b2deffbc3b70"
"K475-XZ-DM-3900PID0021103";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/14/2023 1:17:01 PM";"51228f4d-9b2c-4981-8529-7a986f9f4608"
"K475-XX-DG-3900DW0052001";"ListItem";"522";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"9/11/2023 10:59:36 AM";"09216a51-974b-4ca8-a7c7-ec6687bb86a1"
"K475-XH-WR-3900MS130005";"ListItem";"526";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"11/23/2023 10:15:19 AM";"eee86943-5978-4fcf-80f3-bced4ed0f205"
"K475-XH-WR-3900MS130004";"ListItem";"518";"FirstStageRecycleBin";"sites/K475DigitalDocumentsC/Lists/ClientTransmittalQueue";"Digital Documents";"10/25/2023 1:47:21 PM";"524bbfbe-424b-4b12-a96f-31b39807166e"
